symbol,date,open,close,high,low,volume
AAPL,2026-03-02 00:00:00+00:00,262.44,264.72,266.53,260.2,41576035.0
AAPL,2026-03-03 00:00:00+00:00,263.48,263.75,265.56,260.13,37994695.0
AAPL,2026-03-04 00:00:00+00:00,264.65,262.52,266.15,261.42,39258957.0
AAPL,2026-03-05 00:00:00+00:00,260.745,260.29,261.555,257.25,49424671.0
AAPL,2026-03-06 00:00:00+00:00,258.74,257.46,258.76,254.37,40628988.0
AAPL,2026-03-09 00:00:00+00:00,255.69,259.88,261.15,253.6805,37958303.0
AAPL,2026-03-10 00:00:00+00:00,257.695,260.83,262.48,256.95,26403306.0
AAPL,2026-03-11 00:00:00+00:00,261.09,260.81,262.13,259.55,26131800.0
AAPL,2026-03-12 00:00:00+00:00,258.64,255.76,258.95,254.18,40132517.0
AAPL,2026-03-13 00:00:00+00:00,255.4,250.12,256.33,249.52,34193754.0
AAPL,2026-03-16 00:00:00+00:00,252.105,252.82,253.885,249.88,30091880.0
AAPL,2026-03-17 00:00:00+00:00,253.0785,254.23,255.1299,252.18,27556024.0
AAPL,2026-03-18 00:00:00+00:00,252.625,249.94,254.94,249.0,34652568.0
AAPL,2026-03-19 00:00:00+00:00,249.4,248.96,251.83,247.3,34568663.0
AAPL,2026-03-20 00:00:00+00:00,248.11,247.99,249.1999,246.0,87981315.0
AAPL,2026-03-23 00:00:00+00:00,253.99,251.49,254.56,250.28,37465587.0
AAPL,2026-03-24 00:00:00+00:00,250.49,251.64,254.825,249.55,27882961.0
AAPL,2026-03-25 00:00:00+00:00,254.1,252.62,255.0,251.6,28436700.0
AAPL,2026-03-26 00:00:00+00:00,251.995,252.89,257.0,250.775,41331888.0
AAPL,2026-03-27 00:00:00+00:00,253.91,248.8,255.493,248.07,46525772.0
AAPL,2026-03-30 00:00:00+00:00,249.995,246.63,250.84,245.51,38248670.0
AAPL,2026-03-31 00:00:00+00:00,247.89,253.79,255.48,247.101,48770963.0
AMZN,2026-03-02 00:00:00+00:00,204.55,208.39,209.72,203.48,43410499.0
AMZN,2026-03-03 00:00:00+00:00,203.23,208.73,209.178,202.48,42680032.0
AMZN,2026-03-04 00:00:00+00:00,210.47,216.82,217.535,210.15,54286831.0
AMZN,2026-03-05 00:00:00+00:00,215.98,218.94,220.47,215.59,60834400.0
AMZN,2026-03-06 00:00:00+00:00,214.99,213.21,217.32,212.535,50910303.0
AMZN,2026-03-09 00:00:00+00:00,210.46,213.49,213.82,207.11,53488342.0
AMZN,2026-03-10 00:00:00+00:00,214.19,214.33,215.65,212.43,35582400.0
AMZN,2026-03-11 00:00:00+00:00,215.71,212.65,217.0,211.35,34006300.0
AMZN,2026-03-12 00:00:00+00:00,210.33,209.53,211.71,208.15,44067157.0
AMZN,2026-03-13 00:00:00+00:00,209.4,207.67,210.56,206.22,34201623.0
AMZN,2026-03-16 00:00:00+00:00,208.35,211.74,212.724,207.445,42137043.0
AMZN,2026-03-17 00:00:00+00:00,212.885,215.2,215.7,212.43,41662109.0
AMZN,2026-03-18 00:00:00+00:00,213.96,209.87,215.1401,208.83,37711795.0
AMZN,2026-03-19 00:00:00+00:00,207.06,208.76,209.12,206.06,35932990.0
AMZN,2026-03-20 00:00:00+00:00,207.5,205.37,207.5399,204.316,55381136.0
AMZN,2026-03-23 00:00:00+00:00,209.78,210.14,212.8,209.51,43926097.0
AMZN,2026-03-24 00:00:00+00:00,207.885,207.24,209.35,206.64,34266291.0
AMZN,2026-03-25 00:00:00+00:00,211.62,211.71,213.07,209.9,35103651.0
AMZN,2026-03-26 00:00:00+00:00,210.57,207.54,212.885,207.12,45915765.0
AMZN,2026-03-27 00:00:00+00:00,206.325,199.34,206.42,199.14,55772474.0
AMZN,2026-03-30 00:00:00+00:00,201.35,200.95,203.8,199.9802,42710345.0
AMZN,2026-03-31 00:00:00+00:00,204.875,208.27,210.28,204.14,57843337.0
GOOG,2026-03-02 00:00:00+00:00,302.93,306.36,308.14,301.06,21789144.0
GOOG,2026-03-03 00:00:00+00:00,298.192,303.56,303.94,296.6994,19747708.0
GOOG,2026-03-04 00:00:00+00:00,302.72,303.45,305.46,300.8,19892189.0
GOOG,2026-03-05 00:00:00+00:00,303.09,300.91,303.37,298.07,22541297.0
GOOG,2026-03-06 00:00:00+00:00,296.072,298.3,300.33,295.27,17410318.0
GOOG,2026-03-09 00:00:00+00:00,294.14,306.01,306.5,293.99,19478510.0
GOOG,2026-03-10 00:00:00+00:00,305.875,306.93,309.15,305.31,14362200.0
GOOG,2026-03-11 00:00:00+00:00,306.3,308.42,311.069,305.84,13320300.0
GOOG,2026-03-12 00:00:00+00:00,306.155,303.21,308.64,300.84,14633273.0
GOOG,2026-03-13 00:00:00+00:00,307.0,301.46,307.24,299.7801,16811259.0
GOOG,2026-03-16 00:00:00+00:00,303.5,304.42,305.57,301.81,14764954.0
GOOG,2026-03-17 00:00:00+00:00,304.65,309.41,310.05,304.37,14395157.0
GOOG,2026-03-18 00:00:00+00:00,307.905,306.3,310.75,305.5494,13753387.0
GOOG,2026-03-19 00:00:00+00:00,303.21,305.73,306.68,301.0,15343571.0
GOOG,2026-03-20 00:00:00+00:00,304.135,298.79,304.37,296.76,34103002.0
GOOG,2026-03-23 00:00:00+00:00,300.53,299.02,303.37,298.03,22068828.0
GOOG,2026-03-24 00:00:00+00:00,296.21,289.2,297.09,288.855,27300898.0
GOOG,2026-03-25 00:00:00+00:00,291.72,289.59,294.66,287.37,21787018.0
GOOG,2026-03-26 00:00:00+00:00,286.049,280.74,286.515,279.05,28870381.0
GOOG,2026-03-27 00:00:00+00:00,277.4,273.76,279.09,273.48,25623591.0
GOOG,2026-03-30 00:00:00+00:00,275.89,273.14,276.26,271.535,21415696.0
GOOG,2026-03-31 00:00:00+00:00,277.84,286.86,287.05,276.81,30680107.0
META,2026-03-02 00:00:00+00:00,637.16,653.56,659.94,634.5,9801700.0
META,2026-03-03 00:00:00+00:00,648.29,655.08,659.04,638.84,12240600.0
META,2026-03-04 00:00:00+00:00,657.96,667.73,672.75,657.6711,10709535.0
META,2026-03-05 00:00:00+00:00,662.15,660.57,670.7,650.31,13249534.0
META,2026-03-06 00:00:00+00:00,647.9,644.86,649.4568,636.18,13000591.0
META,2026-03-09 00:00:00+00:00,634.78,647.39,647.75,626.78,13463300.0
META,2026-03-10 00:00:00+00:00,653.56,654.07,660.3,649.0,9844600.0
META,2026-03-11 00:00:00+00:00,654.76,654.86,659.12,648.36,8940900.0
META,2026-03-12 00:00:00+00:00,648.82,638.18,653.5,636.9,11019525.0
META,2026-03-13 00:00:00+00:00,623.27,613.71,629.1699,609.55,18758294.0
META,2026-03-16 00:00:00+00:00,632.0,627.45,634.74,623.1004,14353381.0
META,2026-03-17 00:00:00+00:00,628.53,622.66,636.55,621.71,10268468.0
META,2026-03-18 00:00:00+00:00,616.31,615.68,622.64,614.61,11622275.0
META,2026-03-19 00:00:00+00:00,611.96,606.7,613.0,602.26,12389745.0
META,2026-03-20 00:00:00+00:00,603.53,593.66,603.955,587.27,19820750.0
META,2026-03-23 00:00:00+00:00,605.787,604.06,608.64,599.01,13258580.0
META,2026-03-24 00:00:00+00:00,599.1,592.92,601.0,591.0,10647042.0
META,2026-03-25 00:00:00+00:00,598.74,594.89,603.62,593.4,12161179.0
META,2026-03-26 00:00:00+00:00,582.49,547.54,583.0,543.35,35664700.0
META,2026-03-27 00:00:00+00:00,540.1,525.72,543.6,520.26,29980300.0
META,2026-03-30 00:00:00+00:00,536.38,536.38,539.55,528.54,22758800.0
META,2026-03-31 00:00:00+00:00,549.98,572.13,573.69,546.77,32809500.0
NFLX,2026-03-02 00:00:00+00:00,95.33,97.09,98.07,95.25,79614084.0
NFLX,2026-03-03 00:00:00+00:00,95.93,97.7,98.46,95.33,58954497.0
NFLX,2026-03-04 00:00:00+00:00,97.12,98.66,99.75,96.99,52115674.0
NFLX,2026-03-05 00:00:00+00:00,98.495,99.17,100.19,98.1,53241615.0
NFLX,2026-03-06 00:00:00+00:00,99.38,99.02,99.88,97.4,39306944.0
NFLX,2026-03-09 00:00:00+00:00,97.69,98.32,98.94,96.58,47858580.0
NFLX,2026-03-10 00:00:00+00:00,97.81,96.94,98.49,96.29,40948700.0
NFLX,2026-03-11 00:00:00+00:00,97.41,94.89,98.0,94.69,33720500.0
NFLX,2026-03-12 00:00:00+00:00,94.926,94.31,95.4,93.87,33941082.0
NFLX,2026-03-13 00:00:00+00:00,94.55,95.31,95.6797,94.24,29808277.0
NFLX,2026-03-16 00:00:00+00:00,95.58,95.2,96.1,94.36,34582324.0
NFLX,2026-03-17 00:00:00+00:00,95.3,94.36,96.34,94.01,26283342.0
NFLX,2026-03-18 00:00:00+00:00,94.445,94.7,95.335,93.61,27264739.0
NFLX,2026-03-19 00:00:00+00:00,94.31,91.74,95.75,90.775,38239433.0
NFLX,2026-03-20 00:00:00+00:00,91.37,91.82,91.88,90.69,61493975.0
NFLX,2026-03-23 00:00:00+00:00,91.99,93.38,93.98,91.86,33605523.0
NFLX,2026-03-24 00:00:00+00:00,92.79,90.92,93.7398,90.815,28812449.0
NFLX,2026-03-25 00:00:00+00:00,91.735,92.28,92.52,91.235,29491408.0
NFLX,2026-03-26 00:00:00+00:00,91.534,93.32,95.86,91.01,59159281.0
NFLX,2026-03-27 00:00:00+00:00,94.534,93.43,95.5799,92.74,44308432.0
NFLX,2026-03-30 00:00:00+00:00,92.757,92.97,94.49,92.22,29207947.0
NFLX,2026-03-31 00:00:00+00:00,93.25,96.15,96.26,93.17,53674277.0
